name,salary,types,companyFullName,companyLabelList,companySize,businessZones,subwayline,stationname,linestaion,url
会计专员,5k-8k,"['综合职能|高级管理', '财务', '会计']",成都智明未来教育科技有限公司,"['带薪年假', '定期体检', '弹性工作', '节日礼物']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8098710.html
财务会计,5k-7k,"['综合职能|高级管理', '财务', '会计']",四川怡和祥烧坊酒业有限公司,[],15-50人,,,,,https://www.lagou.com/jobs/8033760.html
出纳/会计,3k-6k,"['综合职能|高级管理', '财务', '财务']",北京鱼爪网络科技有限公司成都分公司,"['专项奖金', '绩效奖金', '午餐补助', '带薪年假']",2000人以上,"['春熙路', '红星路']",3号线,骡马市,1号线(五根松)_锦江宾馆;1号线(五根松)_天府广场;1号线(五根松)_骡马市;1号线(科学城)_锦江宾馆;1号线(科学城)_天府广场;1号线(科学城)_骡马市;2号线_天府广场;2号线_春熙路;3号线_市二医院;3号线_春熙路;4号线_市二医院;4号线_太升南路;4号线_骡马市,https://www.lagou.com/jobs/7748964.html
核算会计,5k-7k,"['综合职能|高级管理', '财务', '会计']",成都酷学智汇教育科技有限公司,[],15-50人,,1号线(五根松),金融城,1号线(五根松)_金融城;1号线(五根松)_高新;1号线(科学城)_金融城;1号线(科学城)_高新;7号线_三瓦窑,https://www.lagou.com/jobs/8138172.html
结算会计,3k-5k,"['综合职能|高级管理', '财务', '会计']",四川省中国青年旅行社有限公司,[],150-500人,['火车南站'],1号线(五根松),桐梓林,1号线(五根松)_火车南站;1号线(五根松)_桐梓林;1号线(科学城)_火车南站;1号线(科学城)_桐梓林;7号线_神仙树;7号线_火车南站,https://www.lagou.com/jobs/5540583.html
财务会计,5k-7k,"['综合职能|高级管理', '财务', '会计']",梦思特科技（成都）有限公司,"['弹性工作', '领导好', '扁平管理', '五险一金']",50-150人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7969116.html
财务会计,5k-8k,"['综合职能|高级管理', '财务', '会计']",深圳复临信息科技有限公司,"['定期体检', '周末双休', '年度旅游', '岗位晋升']",150-500人,,1号线(五根松),天府三街,1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8104083.html
会计,5k-6k,"['综合职能|高级管理', '财务', '会计']",成都栖云数通科技有限公司,[],15-50人,,3号线,衣冠庙,3号线_衣冠庙;3号线_高升桥,https://www.lagou.com/jobs/8135655.html
会计,6k-8k,"['综合职能|高级管理', '财务', '会计']",成都卓杭网络科技股份有限公司,"['带薪年假', '午餐补助', '绩效奖金', '周末双休']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7953202.html
财务会计,6k-8k,"['综合职能|高级管理', '财务', '会计']",北京众盛天宜科技有限公司,[],150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8071525.html
会计,4k-8k,"['综合职能|高级管理', '财务', '会计']",成都金晨数通科技有限公司,[],15-50人,,,,,https://www.lagou.com/jobs/8132699.html
会计助理,4k-8k,"['综合职能|高级管理', '财务', '会计']",中国平安人寿保险股份有限公司成都电话销售中心武侯分部,[],2000人以上,,7号线,西南交大,7号线_九里堤;7号线_西南交大,https://www.lagou.com/jobs/8128898.html
基金会计,7k-10k,"['综合职能|高级管理', '财务', '会计']",成都瑞智国创金融科技有限公司,"['五险一金', '交通补助', '通讯津贴', '午餐补助']",15-50人,['牛市口'],2号线,双桥路,2号线_牛市口;2号线_东大路;2号线_塔子山公园;4号线_万年场;4号线_双桥路,https://www.lagou.com/jobs/8038995.html
会计教研员,5k-7k,"['综合职能|高级管理', '财务', '会计']",成都环宇知了科技有限公司,"['带薪年假', '绩效奖金', '专项奖金', '年底双薪']",500-2000人,,2号线,天河路,2号线_天河路;2号线_百草路,https://www.lagou.com/jobs/7615852.html
会计,4k-6k,"['综合职能|高级管理', '财务', '会计']",成都轻备教育科技有限公司,"['教育', '绩效奖金', '美女多', '岗位晋升']",50-150人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8124640.html
AP-应付会计,3k-5k,"['综合职能|高级管理', '财务', '会计']",博世（上海）安保系统有限公司成都高新分公司,"['年底双薪', '带薪年假', '绩效奖金', '交通补助']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_华府大道;1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_华府大道;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/6674560.html
财务会计专员,4k-8k,"['综合职能|高级管理', '财务', '会计']",成都云动力科技有限公司,"['午餐补助', '技能培训', '五险一金', '股票期权']",50-150人,['牛王庙'],3号线,玉双路,2号线_春熙路;2号线_东门大桥;2号线_牛王庙;3号线_市二医院;3号线_春熙路;3号线_新南门;4号线_玉双路;4号线_市二医院,https://www.lagou.com/jobs/8131958.html
会计（兼内审）,4k-6k,"['综合职能|高级管理', '财务', '会计']",成都任我行软件股份有限公司,"['绩效奖金', '年底双薪', '专项奖金', '节日礼物']",500-2000人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7818193.html
实习会计,1k-2k,"['综合职能|高级管理', '财务', '会计']",成都好伙伴财税咨询有限公司,[],少于15人,,1号线(五根松),桐梓林,1号线(五根松)_火车南站;1号线(五根松)_桐梓林;1号线(五根松)_倪家桥;1号线(科学城)_火车南站;1号线(科学城)_桐梓林;1号线(科学城)_倪家桥;7号线_火车南站,https://www.lagou.com/jobs/6268925.html
资深会计,6k-8k,"['综合职能|高级管理', '财务', '会计']",成都好伙伴财税咨询有限公司,[],少于15人,"['桐梓林', '桂溪']",1号线(五根松),桐梓林,1号线(五根松)_火车南站;1号线(五根松)_桐梓林;1号线(五根松)_倪家桥;1号线(科学城)_火车南站;1号线(科学城)_桐梓林;1号线(科学城)_倪家桥;7号线_火车南站,https://www.lagou.com/jobs/6759370.html
会计助理,4k-6k,"['综合职能|高级管理', '财务', '会计']",中国平安人寿保险股份有限公司成都电话销售中心,[],2000人以上,,7号线,西南交大,7号线_西南交大,https://www.lagou.com/jobs/7805675.html
